종가,오픈,고가,저가
1076.75,1074.35,1076.95,1072.25
1081.75,1080.75,1081.75,1079.75
1085.55,1089.75,1090.15,1082.35
1081.5,1079.4,1085.2,1078.4
1080.5,1082.7,1083.2,1080.5
1076.5,1077.4,1077.9,1073.8
1088.5,1082.4,1088.5,1080.8
1086.95,1085.05,1092.35,1083.35
1091.85,1092.05,1095.15,1090.55
1088.5,1094.2,1094.4,1087.0
1088.5,1088.4,1088.7,1085.5
1086.5,1086.4,1087.7,1082.3
1082.8,1083.0,1084.0,1081.1
1097.95,1086.55,1097.95,1086.35
1093.4,1099.1,1099.7,1092.3
1101.5,1092.8,1102.1,1091.3
1089.5,1094.4,1094.9,1088.0
1082.4,1088.1,1088.1,1078.2
1080.15,1079.05,1081.55,1078.05
1078.5,1077.4,1079.7,1075.1
1078.35,1077.6,1079.3,1074.5
1081.25,1082.65,1083.65,1077.85
1077.5,1075.4,1082.3,1075.0
1080.0,1078.3,1080.5,1078.3
1077.4,1081.8,1083.1,1076.4
1084.0,1077.5,1085.1,1077.5
1080.95,1085.6,1085.6,1080.95
1084.5,1082.4,1084.5,1078.1
1086.95,1087.6,1087.7,1085.2
1081.25,1085.6,1086.7,1080.5
1087.65,1081.6,1089.65,1080.7
1091.85,1088.6,1092.1,1087.3
1085.95,1088.95,1089.05,1083.05
1083.4,1081.6,1086.5,1080.5
1075.4,1083.4,1085.1,1075.15
1074.3,1075.6,1077.6,1073.5
1080.5,1076.6,1084.55,1075.2
1078.85,1078.95,1079.55,1076.05
1083.6,1083.6,1089.3,1083.1
1080.75,1081.6,1084.3,1080.7
1073.0,1077.5,1080.5,1073.0
1067.0,1071.1,1073.0,1066.5
1065.25,1067.5,1069.5,1063.6
1063.45,1064.05,1065.25,1062.05
1066.85,1062.5,1067.9,1062.5
1065.95,1068.6,1068.6,1063.6
1064.0,1063.9,1066.1,1063.4
1056.95,1060.15,1060.25,1056.15
1058.0,1058.9,1062.8,1057.5
1065.0,1065.0,1068.7,1063.75
1056.8,1064.5,1066.7,1054.8
1058.0,1055.9,1059.5,1054.2
1058.55,1057.55,1058.75,1056.35
1060.55,1059.6,1063.2,1059.6
1056.85,1060.1,1061.6,1056.85
1054.4,1055.0,1056.5,1054.15
1051.15,1053.6,1056.6,1051.15
1050.88,1050.83,1052.83,1050.33
1054.9,1051.8,1056.9,1051.8
1049.4,1054.6,1056.2,1048.65
1053.95,1050.0,1053.95,1049.5
1053.5,1054.3,1055.1,1051.8
1054.3,1052.2,1054.3,1051.9
1050.0,1052.5,1052.6,1048.65
1053.1,1050.6,1053.1,1050.6
1058.05,1057.5,1061.1,1056.6
1061.7,1057.0,1062.0,1055.2
1067.4,1072.1,1074.4,1066.0
1085.85,1072.6,1085.85,1067.8
1085.7,1089.2,1096.6,1085.45
1083.65,1074.6,1084.5,1073.6
1078.45,1087.65,1090.55,1078.45
1079.05,1072.05,1082.85,1072.05
1068.55,1079.5,1079.5,1068.3
1071.25,1074.6,1074.6,1067.6
1068.8,1071.65,1075.15,1068.8
1083.3,1068.6,1083.3,1068.6
1087.35,1082.35,1087.75,1078.75
1083.55,1084.4,1085.8,1079.25
1078.0,1082.8,1083.4,1075.65
1083.5,1074.3,1084.25,1073.9
1089.5,1082.3,1090.5,1080.3
1080.0,1088.4,1088.4,1080.0
1074.2,1077.4,1079.5,1073.0
1070.85,1073.4,1075.1,1070.4
1065.4,1071.9,1074.2,1063.5
1064.4,1066.9,1067.3,1060.4
1065.6,1062.4,1066.2,1060.5
1069.6,1066.4,1070.55,1066.3
1074.65,1070.9,1077.5,1069.5
1069.65,1072.4,1073.3,1069.5
1076.0,1068.4,1076.55,1068.4
1077.5,1075.4,1078.8,1074.2
1077.25,1077.0,1077.25,1077.0
1077.25,1077.25,1077.25,1077.25
1107.15,1098.4,1110.95,1092.3
1114.0,1103.25,1120.45,1098.55
1112.5,1102.1,1114.0,1099.5
1139.95,1116.3,1141.4,1114.3
